代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
603515.SH,欧普照明,2016-08-19,17.93,21.51,17.93,21.51,31300,
603515.SH,欧普照明,2016-08-22,23.66,23.66,23.66,23.66,3800,
603515.SH,欧普照明,2016-08-23,26.03,26.03,26.03,26.03,8800,
603515.SH,欧普照明,2016-08-24,28.63,28.63,28.63,28.63,11992,
603515.SH,欧普照明,2016-08-25,31.49,31.49,31.49,31.49,28445,
603515.SH,欧普照明,2016-08-26,34.64,34.64,34.64,34.64,63556,
603515.SH,欧普照明,2016-08-29,38.1,38.1,38.1,38.1,64823,
603515.SH,欧普照明,2016-08-30,41.91,41.91,41.91,41.91,72000,
603515.SH,欧普照明,2016-08-31,46.1,46.1,44.4,46.1,26123681,
603515.SH,欧普照明,2016-09-01,46.1,50.71,46.1,50.71,32560387,
603515.SH,欧普照明,2016-09-02,48,53.25,47.6,50.7,26486848,
603515.SH,欧普照明,2016-09-05,50.7,52.86,49.25,51.53,20528899,
603515.SH,欧普照明,2016-09-06,50.8,54.02,50.4,53.37,22160167,
603515.SH,欧普照明,2016-09-07,52.48,52.83,49.95,50.04,20660529,
603515.SH,欧普照明,2016-09-08,49.4,50.5,47.7,48.47,14424508,
603515.SH,欧普照明,2016-09-09,48.03,48.88,46.76,46.99,12074772,
603515.SH,欧普照明,2016-09-12,45.26,46.68,45.1,45.82,8437569,
603515.SH,欧普照明,2016-09-13,46.2,46.38,44.51,45,8569114,
603515.SH,欧普照明,2016-09-14,44.52,46.75,44.21,45.33,8755466,
603515.SH,欧普照明,2016-09-19,45.55,46.12,44.35,45.01,7651466,
603515.SH,欧普照明,2016-09-20,44.99,44.99,43.53,43.79,8349555,
603515.SH,欧普照明,2016-09-21,43.51,43.78,42.66,42.7,6866643,
603515.SH,欧普照明,2016-09-22,42.9,43.15,42.35,43.03,6721621,
603515.SH,欧普照明,2016-09-23,42.9,44.32,42.81,43.08,8030544,
603515.SH,欧普照明,2016-09-26,43,43,39.01,39.13,9574999,
603515.SH,欧普照明,2016-09-27,38.85,39.45,38,39.36,6713313,
603515.SH,欧普照明,2016-09-28,39.14,39.19,38.37,38.42,4331371,
603515.SH,欧普照明,2016-09-29,38.5,38.99,38.28,38.58,4350934,
603515.SH,欧普照明,2016-09-30,38.48,38.87,38.35,38.59,3564770,
603515.SH,欧普照明,2016-10-10,38.99,40.43,38.61,40.24,6384872,
603515.SH,欧普照明,2016-10-11,40.25,40.25,39.52,40.08,5515092,
603515.SH,欧普照明,2016-10-12,40.1,41.97,39.72,40.85,7729605,
603515.SH,欧普照明,2016-10-13,40.64,40.8,39.92,40.18,4741812,
603515.SH,欧普照明,2016-10-14,40.14,40.8,39.84,40.34,3624696,
603515.SH,欧普照明,2016-10-17,40.4,40.47,38.92,39.11,4483506,
603515.SH,欧普照明,2016-10-18,39.29,39.86,38.91,39.69,3975360,
603515.SH,欧普照明,2016-10-19,39.65,40.97,39.21,40.5,6939576,
603515.SH,欧普照明,2016-10-20,40.27,40.4,39.81,39.94,4013239,
603515.SH,欧普照明,2016-10-21,39.87,39.87,38.8,39.64,4781351,
603515.SH,欧普照明,2016-10-24,39.33,42.85,39.26,42.53,11477170,
603515.SH,欧普照明,2016-10-25,42.17,42.87,41.8,41.91,9151083,
603515.SH,欧普照明,2016-10-26,41.91,42.8,41.01,42.46,8026107,
603515.SH,欧普照明,2016-10-27,42.3,43.45,42.03,42.6,8724243,
603515.SH,欧普照明,2016-10-28,42.65,44.88,42.31,43.68,12277227,
603515.SH,欧普照明,2016-10-31,42.98,43,41.65,41.93,6608240,
603515.SH,欧普照明,2016-11-01,41.61,43.45,41.61,42.62,6388853,
603515.SH,欧普照明,2016-11-02,42.28,43.49,41.95,42.96,8182914,
603515.SH,欧普照明,2016-11-03,42.59,44.18,42.48,43.02,9413151,
603515.SH,欧普照明,2016-11-04,42.62,47.32,42.6,47.32,17553422,
603515.SH,欧普照明,2016-11-07,49.39,49.39,45.1,45.99,16397456,
603515.SH,欧普照明,2016-11-08,45.91,50.58,45.26,48.7,18418730,
603515.SH,欧普照明,2016-11-09,48.01,52.6,47.72,50.76,21586697,
603515.SH,欧普照明,2016-11-10,51.1,54.54,50,53.27,20322323,
603515.SH,欧普照明,2016-11-11,52.67,54.25,50.2,50.3,16283111,
603515.SH,欧普照明,2016-11-14,49.58,49.59,47.62,48.35,10101552,
603515.SH,欧普照明,2016-11-15,48.36,49.3,48.11,48.54,5828807,
603515.SH,欧普照明,2016-11-16,48.6,48.82,46.3,46.38,8102180,
603515.SH,欧普照明,2016-11-17,46.21,47.28,45.98,46.49,5198452,
603515.SH,欧普照明,2016-11-18,46.66,48.3,46.46,47.09,6473686,
603515.SH,欧普照明,2016-11-21,46.94,48.44,46.02,48.15,7489963,
603515.SH,欧普照明,2016-11-22,48,48.92,47.6,47.85,6706603,
603515.SH,欧普照明,2016-11-23,47.88,48.2,46.2,46.34,6131694,
603515.SH,欧普照明,2016-11-24,45.82,46.36,44.75,45.02,6087739,
603515.SH,欧普照明,2016-11-25,45.18,45.84,43.27,45.76,4875482,
603515.SH,欧普照明,2016-11-28,45.6,45.6,44.55,44.72,3293289,
603515.SH,欧普照明,2016-11-29,44.69,45.31,43.36,43.43,3693587,
603515.SH,欧普照明,2016-11-30,43.52,43.98,43.17,43.76,2282390,
603515.SH,欧普照明,2016-12-01,43.9,44.87,43.4,44.78,3721473,
603515.SH,欧普照明,2016-12-02,44.6,45.02,42.75,42.82,3767013,
603515.SH,欧普照明,2016-12-05,42,42.78,41.5,42.13,2534367,
