代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
601077.SH,渝农商行,2019-10-29,8.83,10.6,8.83,9.35,418493845,
601077.SH,渝农商行,2019-10-30,8.8,8.8,8.42,8.42,273352206,
601077.SH,渝农商行,2019-10-31,7.85,8.47,7.66,8.1,286873194,
601077.SH,渝农商行,2019-11-01,7.87,8.07,7.8,7.88,169178856,
601077.SH,渝农商行,2019-11-04,7.81,7.92,7.66,7.69,163286018,
601077.SH,渝农商行,2019-11-05,7.69,7.78,7.51,7.68,155242120,
601077.SH,渝农商行,2019-11-06,7.63,7.63,7.45,7.47,123989409,
601077.SH,渝农商行,2019-11-07,7.46,7.6,7.46,7.5,84315250,
601077.SH,渝农商行,2019-11-08,7.56,7.56,7.43,7.44,76684802,
601077.SH,渝农商行,2019-11-11,7.4,7.4,7.18,7.19,96130522,
601077.SH,渝农商行,2019-11-12,7.18,7.22,7.02,7.1,78603149,
601077.SH,渝农商行,2019-11-13,7.07,7.08,6.93,6.93,79494890,
601077.SH,渝农商行,2019-11-14,6.9,7.27,6.83,7.14,132649980,
601077.SH,渝农商行,2019-11-15,7.05,7.14,6.93,6.95,75373286,
601077.SH,渝农商行,2019-11-18,6.92,7.02,6.88,6.94,52198773,
601077.SH,渝农商行,2019-11-19,6.94,7.06,6.92,7.03,60798673,
601077.SH,渝农商行,2019-11-20,7.02,7.04,6.93,6.95,53353413,
601077.SH,渝农商行,2019-11-21,6.92,6.96,6.9,6.92,38309325,
601077.SH,渝农商行,2019-11-22,6.93,6.97,6.87,6.89,44143188,
601077.SH,渝农商行,2019-11-25,6.9,7.02,6.88,6.98,58494718,
601077.SH,渝农商行,2019-11-26,6.94,7.02,6.93,6.94,58493478,
601077.SH,渝农商行,2019-11-27,6.91,6.91,6.76,6.77,78532533,
601077.SH,渝农商行,2019-11-28,6.76,6.79,6.67,6.68,54337509,
601077.SH,渝农商行,2019-11-29,6.67,6.72,6.63,6.65,38415104,
601077.SH,渝农商行,2019-12-02,6.65,6.67,6.6,6.61,38975255,
601077.SH,渝农商行,2019-12-03,6.59,6.59,6.53,6.58,35171494,
601077.SH,渝农商行,2019-12-04,6.55,6.62,6.53,6.57,27595711,
601077.SH,渝农商行,2019-12-05,6.58,6.67,6.56,6.64,44929135,
601077.SH,渝农商行,2019-12-06,6.62,6.63,6.58,6.61,32992191,
601077.SH,渝农商行,2019-12-09,6.62,6.65,6.6,6.64,36380642,
601077.SH,渝农商行,2019-12-10,6.61,6.62,6.56,6.58,46394793,
601077.SH,渝农商行,2019-12-11,6.56,6.61,6.55,6.58,36041933,
601077.SH,渝农商行,2019-12-12,6.57,6.57,6.48,6.49,50280000,
601077.SH,渝农商行,2019-12-13,6.51,6.58,6.49,6.57,63340372,
601077.SH,渝农商行,2019-12-16,6.56,6.57,6.52,6.57,48747165,
601077.SH,渝农商行,2019-12-17,6.58,7.07,6.56,6.92,210316973,
601077.SH,渝农商行,2019-12-18,6.85,6.93,6.78,6.83,115566078,
601077.SH,渝农商行,2019-12-19,6.82,6.98,6.81,6.86,84184780,
601077.SH,渝农商行,2019-12-20,6.85,7.03,6.83,6.92,107211390,
601077.SH,渝农商行,2019-12-23,6.89,6.92,6.71,6.73,72555358,
601077.SH,渝农商行,2019-12-24,6.76,6.78,6.68,6.74,40218262,
601077.SH,渝农商行,2019-12-25,6.73,6.74,6.68,6.7,38453679,
601077.SH,渝农商行,2019-12-26,6.7,6.73,6.67,6.73,38165577,
601077.SH,渝农商行,2019-12-27,6.72,6.84,6.7,6.72,61412867,
601077.SH,渝农商行,2019-12-30,6.66,6.71,6.56,6.71,58655101,
601077.SH,渝农商行,2019-12-31,6.69,6.75,6.66,6.7,34065257,
601077.SH,渝农商行,2020-01-02,6.81,6.86,6.76,6.77,76451217,
601077.SH,渝农商行,2020-01-03,6.79,6.79,6.74,6.77,43983730,
601077.SH,渝农商行,2020-01-06,6.75,6.8,6.71,6.75,48413073,
601077.SH,渝农商行,2020-01-07,6.76,6.8,6.74,6.8,50340570,
601077.SH,渝农商行,2020-01-08,6.78,6.78,6.68,6.69,54109459,
601077.SH,渝农商行,2020-01-09,6.72,6.75,6.71,6.72,32001768,
601077.SH,渝农商行,2020-01-10,6.74,6.75,6.69,6.72,25141739,
601077.SH,渝农商行,2020-01-13,6.7,6.71,6.66,6.71,26902542,
601077.SH,渝农商行,2020-01-14,6.71,6.72,6.69,6.69,23968022,
601077.SH,渝农商行,2020-01-15,6.69,6.69,6.64,6.64,25931059,
601077.SH,渝农商行,2020-01-16,6.66,6.66,6.6,6.6,24209618,
601077.SH,渝农商行,2020-01-17,6.6,6.63,6.6,6.6,17877474,
601077.SH,渝农商行,2020-01-20,6.6,6.62,6.58,6.62,20822852,
601077.SH,渝农商行,2020-01-21,6.63,6.63,6.55,6.55,26792307,
601077.SH,渝农商行,2020-01-22,6.55,6.56,6.51,6.53,25762907,
601077.SH,渝农商行,2020-01-23,6.52,6.53,6.33,6.39,44223975,
601077.SH,渝农商行,2020-02-03,5.75,5.79,5.75,5.75,46665293,
601077.SH,渝农商行,2020-02-04,5.59,5.81,5.59,5.71,47944035,
601077.SH,渝农商行,2020-02-05,5.7,5.82,5.67,5.75,49903257,
601077.SH,渝农商行,2020-02-06,5.75,5.84,5.71,5.79,50614388,
601077.SH,渝农商行,2020-02-07,5.77,5.77,5.71,5.76,38002443,
601077.SH,渝农商行,2020-02-10,5.73,5.79,5.7,5.78,34237042,
601077.SH,渝农商行,2020-02-11,5.79,5.92,5.77,5.85,52110199,
601077.SH,渝农商行,2020-02-12,5.82,5.87,5.8,5.87,33596988,
601077.SH,渝农商行,2020-02-13,5.85,5.87,5.77,5.77,35954869,
601077.SH,渝农商行,2020-02-14,5.75,5.82,5.75,5.8,26501542,
601077.SH,渝农商行,2020-02-17,5.8,5.98,5.79,5.97,68243370,
601077.SH,渝农商行,2020-02-18,5.93,5.96,5.9,5.93,44289472,
601077.SH,渝农商行,2020-02-19,5.92,5.97,5.9,5.91,37545526,
601077.SH,渝农商行,2020-02-20,5.94,6.1,5.91,6.08,76516788,
601077.SH,渝农商行,2020-02-21,6.03,6.1,6.02,6.05,52481112,
601077.SH,渝农商行,2020-02-24,6.03,6.04,5.97,5.98,41740794,
